"","lat","long","Consequence.x","Arrondissement","an","mois","jour","Tranche_horaire","Agglomeration","intersection","Collision","Luminosite","Meteo","Route","Circulation","Profil.route","Plan.route","Surface","Lieu","Situation","Consequence.y","Genre","age","Contexte","Securite.equip","Equipement.secu","Obstacle.mobile","Choc.subi","Region"
"1",48.8189,2.35952,"Indemne",13,2018,"mars","mercredi","Apres-midi","En agglomeration","Intersection en X","Autre collision","Plein jour","Pluie legere","Voie communale ","Bidirectionnelle","Plat","Partie rectiligne","Mouillee","Valeur inconnue","Aucun","Indemne","Homme",42,"Utilisation professionnelle","Oui","Casque","Pieton","Avant","Ile-de-France"
"2",48.8192,2.35948,"Blesse leger",13,2017,"mai","mardi","Apres-midi","En agglomeration","Intersection en X","Autre collision","Plein jour","Normale","Voie communale ","A chaussees separees","Plat","Partie rectiligne","Normale","Valeur inconnue","Aucun","Blesse leger","Homme",20,"Utilisation professionnelle","Oui","Casque","Vehicule","Cote droit","Ile-de-France"
"3",48.8192,2.35948,"Blesse leger",13,2018,"juillet","jeudi","Apres-midi","En agglomeration","Autre intersection","Deux vehicules - par le cote","Plein jour","Temps couvert","Voie communale ","Bidirectionnelle","Plat","Partie rectiligne","Normale","Valeur inconnue","Aucun","Blesse leger","Homme",34,"Promenade - loisirs","Oui","Casque","Vehicule","Cote gauche","Ile-de-France"
"4",48.8192,2.35948,"Blesse leger",13,2018,"juin","jeudi","Apres-midi","En agglomeration","Intersection en X","Autre collision","Plein jour","Temps eblouissant","Voie communale ","A chaussees separees","Plat","Partie rectiligne","Normale","Valeur inconnue","Aucun","Indemne","Homme",36,"Domicile – travail ","Oui","Casque","Pieton","Avant","Ile-de-France"
"5",48.8192,2.35948,"Indemne",13,2017,"mai","mardi","Apres-midi","En agglomeration","Intersection en X","Autre collision","Plein jour","Normale","Voie communale ","A chaussees separees","Plat","Partie rectiligne","Normale","Valeur inconnue","Aucun","Blesse leger","Homme",20,"Utilisation professionnelle","Oui","Casque","Vehicule","Cote droit","Ile-de-France"
"6",48.8192,2.35948,"Indemne",13,2018,"juillet","jeudi","Apres-midi","En agglomeration","Autre intersection","Deux vehicules - par le cote","Plein jour","Temps couvert","Voie communale ","Bidirectionnelle","Plat","Partie rectiligne","Normale","Valeur inconnue","Aucun","Blesse leger","Homme",34,"Promenade - loisirs","Oui","Casque","Vehicule","Cote gauche","Ile-de-France"
"7",48.8192,2.35948,"Indemne",13,2018,"juin","jeudi","Apres-midi","En agglomeration","Intersection en X","Autre collision","Plein jour","Temps eblouissant","Voie communale ","A chaussees separees","Plat","Partie rectiligne","Normale","Valeur inconnue","Aucun","Indemne","Homme",36,"Domicile – travail ","Oui","Casque","Pieton","Avant","Ile-de-France"
"8",48.8195,2.3629,"Blesse leger",13,2016,"mai","samedi","Soir","En agglomeration","Intersection en T","Deux vehicules - par le cote","Nuit sans eclairage public allume","Normale","Voie communale ","Bidirectionnelle","Plat","Partie rectiligne","Normale","Valeur inconnue","Sur trottoir","Blesse leger","Homme",30,"Non renseigne","Oui","Casque","Vehicule","Cote gauche","Ile-de-France"
"9",48.8201,2.35681,"Blesse hospitalise",13,2016,"avril","lundi","Apres-midi","En agglomeration","Hors intersection","Sans collision","Plein jour","Pluie legere","Voie communale ","A sens unique","Plat","Partie rectiligne","Mouillee","Valeur inconnue","Sur trottoir","Blesse hospitalise","Femme",56,"Non renseigne","Oui","Casque","Aucun","Aucun","Ile-de-France"
"10",48.8203,2.35912,"Indemne",13,2018,"avril","dimanche","Apres-midi","En agglomeration","Hors intersection","Deux vehicules - par le cote","Plein jour","Normale","Voie communale ","A chaussees separees","Plat","Partie rectiligne","Normale","Valeur inconnue","Sur trottoir","Indemne","Homme",22,"Valeur inconnue","Oui","Casque","Vehicule","Avant gauche","Ile-de-France"
