lat,long,Consequence
48.816,2.36005,Blesse leger
48.8164,2.36058,Blesse hospitalise
48.8181,2.36038,Indemne
48.8189,2.35952,Indemne
48.8192,2.35948,Blesse leger
48.8192,2.35948,Indemne
48.8195,2.3629,Blesse leger
48.8197,2.32558,Blesse leger
48.8197,2.34163,Blesse leger
48.8197,2.34223,Blesse leger
48.8197,2.34223,Indemne
48.8201,2.32389,Blesse leger
48.8201,2.32575,Blesse leger
48.8201,2.35681,Blesse hospitalise
48.8202,2.339,Blesse leger
48.8203,2.35912,Indemne
48.8204,2.35271,Indemne
48.8206,2.33752,Blesse leger
48.8206,2.44532,Blesse hospitalise
48.8206,2.44532,Blesse leger
48.8208,2.36675,Blesse leger
48.8209,2.32049,Blesse leger
48.8209,2.35076,Blesse leger
48.8216,2.35255,Blesse leger
48.8216,2.35874,Blesse leger
48.8216,2.36923,Blesse leger
48.8216,2.43316,Blesse leger
48.8216,2.43316,Indemne
48.8218,2.45379,Tue
48.8222,2.34631,Blesse leger
48.8222,2.44231,Blesse leger
48.8222,2.44231,Indemne
48.8223,2.31415,Blesse leger
48.8227,2.32263,Blesse leger
48.8228,2.37789,Blesse leger
48.8229,2.32718,Blesse leger
48.8229,2.3687,Blesse leger
48.8229,2.37315,Blesse leger
48.823,2.34673,Blesse leger
48.823,2.35658,Indemne
48.8232,2.32552,Blesse leger
48.8232,2.32552,Indemne
48.8232,2.37423,Blesse leger
48.8234,2.37505,Blesse leger
48.8237,2.3232,Blesse leger
48.8237,2.3232,Indemne
48.8237,2.32336,Indemne
48.8237,2.33581,Blesse leger
48.8237,2.33581,Indemne
48.8237,2.44178,Blesse leger
48.8238,2.45763,Blesse leger
48.824,2.37702,Blesse leger
48.8241,2.32769,Blesse leger
48.8242,2.37675,Blesse leger
48.8242,2.42275,Blesse leger
48.8245,2.35785,Blesse leger
48.8245,2.35785,Indemne
48.8246,2.31928,Blesse leger
48.8247,2.34919,Blesse leger
48.8248,2.44314,Blesse leger
48.8249,2.35768,Blesse leger
48.825,2.36226,Blesse leger
48.825,2.38888,Blesse leger
48.8251,2.3168,Blesse leger
48.8251,2.35761,Blesse leger
48.8253,2.36264,Blesse leger
48.8256,2.32605,Blesse leger
48.8258,2.35739,Blesse leger
48.8259,2.32226,Indemne
48.8259,2.35142,Blesse leger
48.8259,2.35207,Blesse leger
48.826,2.31255,Blesse hospitalise
48.8262,2.35729,Blesse leger
48.8262,2.35988,Blesse leger
48.8263,2.36146,Blesse leger
48.8263,2.36146,Indemne
48.8264,2.29556,Blesse leger
48.8264,2.31069,Blesse leger
48.8264,2.36192,Blesse leger
48.8265,2.31318,Blesse leger
48.8265,2.41972,Blesse leger
48.8265,2.4551,Blesse leger
48.8266,2.36354,Indemne
48.8268,2.30391,Blesse leger
48.8268,2.35326,Indemne
48.8268,2.36469,Indemne
48.8268,2.36523,Blesse leger
48.8269,2.29324,Blesse leger
48.8269,2.3386,Blesse leger
48.8269,2.35109,Blesse leger
48.8272,2.36772,Blesse leger
48.8272,2.38588,Indemne
48.8273,2.36852,Blesse leger
48.8275,2.35887,Indemne
48.8277,2.3001,Blesse leger
48.8277,2.44377,Indemne
48.8278,2.29278,Blesse leger
48.8278,2.32667,Blesse leger
48.8279,2.41894,Blesse leger
48.8281,2.32145,Blesse leger
48.8281,2.32689,Blesse leger
48.8281,2.39224,Blesse leger
48.8284,2.35662,Indemne
48.8284,2.38035,Blesse leger
48.8285,2.36692,Blesse leger
48.8285,2.3788,Blesse leger
48.8286,2.30138,Blesse leger
48.8289,2.3737,Blesse leger
48.8289,2.41969,Blesse leger
48.8289,2.45206,Blesse leger
48.8296,2.32833,Indemne
48.8297,2.33103,Blesse leger
48.8297,2.34949,Indemne
48.8297,2.35064,Blesse leger
48.8298,2.35406,Blesse leger
48.8299,2.3231,Blesse leger
48.8299,2.3339,Blesse leger
48.8299,2.35013,Blesse hospitalise
48.8299,2.3503,Blesse leger
48.8301,2.30571,Blesse leger
48.8301,2.34781,Blesse leger
48.8301,2.3508,Blesse leger
48.8302,2.30187,Blesse leger
48.8303,2.34709,Blesse leger
48.8306,2.34464,Blesse leger
48.8306,2.37679,Blesse leger
48.8307,2.32376,Blesse leger
48.8307,2.37358,Indemne
48.8308,2.31206,Blesse leger
48.8308,2.34412,Blesse leger
48.8309,2.29228,Blesse leger
48.8309,2.35665,Indemne
48.831,2.31782,Blesse leger
48.8311,2.32965,Blesse leger
48.8311,2.34421,Blesse leger
48.8312,2.40874,Blesse leger
48.8313,2.32984,Blesse leger
48.8314,2.29119,Blesse leger
48.8314,2.31582,Blesse leger
48.8315,2.31528,Indemne
48.8316,2.29066,Blesse leger
48.8317,2.37289,Blesse leger
48.8319,2.37906,Blesse leger
48.8321,2.30294,Blesse leger
48.8322,2.33061,Blesse leger
48.8322,2.36287,Blesse leger
48.8323,2.28904,Blesse hospitalise
48.8323,2.37979,Blesse leger
48.8323,2.37979,Indemne
48.8324,2.40395,Blesse leger
48.8325,2.31684,Indemne
48.8325,2.32498,Blesse leger
48.8325,2.40361,Blesse leger
48.8326,2.37493,Blesse leger
48.8326,2.42035,Blesse leger
48.8327,2.28833,Indemne
48.8327,2.36217,Indemne
48.8328,2.35649,Blesse hospitalise
48.8329,2.36261,Blesse hospitalise
48.8329,2.39594,Blesse leger
48.833,2.33597,Blesse leger
48.833,2.37872,Blesse leger
48.8332,2.35433,Blesse hospitalise
48.8333,2.39892,Blesse leger
48.8334,2.31238,Blesse leger
48.8334,2.44575,Blesse leger
48.8336,2.30919,Blesse leger
48.8336,2.34471,Blesse leger
48.8336,2.41424,Blesse hospitalise
48.8337,2.33189,Indemne
48.8337,2.37386,Blesse leger
48.8337,2.37386,Indemne
48.8337,2.41554,Blesse leger
48.8337,2.4451,Blesse hospitalise
48.8339,2.28528,Blesse leger
48.834,2.44485,Blesse leger
48.834,2.44485,Indemne
48.8341,2.33328,Blesse leger
48.8342,2.3448,Indemne
48.8342,2.37716,Blesse leger
48.8342,2.40424,Indemne
48.8343,2.27451,Blesse leger
48.8343,2.28402,Blesse leger
48.8343,2.44129,Blesse hospitalise
48.8344,2.31889,Blesse leger
48.8344,2.31889,Indemne
48.8344,2.33242,Blesse hospitalise
48.8344,2.33242,Blesse leger
48.8345,2.29567,Blesse leger
48.8345,2.30577,Blesse leger
48.8345,2.33411,Blesse leger
48.8346,2.31924,Blesse leger
48.8346,2.36734,Blesse leger
48.8346,2.41894,Blesse leger
48.83464,2.43893,Blesse leger
48.83464,2.43893,Indemne
48.8347,2.30515,Blesse leger
48.8347,2.30515,Indemne
48.8347,2.36699,Blesse hospitalise
48.8347,2.36699,Blesse leger
48.8348,2.30469,Blesse leger
48.8348,2.34159,Blesse leger
48.8348,2.39337,Blesse hospitalise
48.8349,2.35315,Blesse leger
48.8351,2.35904,Blesse leger
48.8353,2.39275,Blesse leger
48.8356,2.3925,Blesse leger
48.8357,2.31847,Indemne
48.8357,2.34848,Blesse leger
48.8357,2.38605,Blesse leger
48.8357,2.40216,Indemne
48.8358,2.45314,Blesse leger
48.8359,2.40564,Blesse leger
48.836,2.3276,Blesse leger
48.836,2.37267,Blesse leger
48.8361,2.2782,Blesse leger
48.8362,2.28959,Blesse leger
48.8362,2.3064,Blesse leger
48.8362,2.37145,Blesse leger
48.8363,2.38501,Blesse leger
48.8364,2.28232,Blesse leger
48.8364,2.3713,Blesse leger
48.8365,2.28398,Blesse leger
48.8365,2.32336,Blesse hospitalise
48.8365,2.44159,Blesse leger
48.8366,2.38249,Blesse leger
48.8367,2.38435,Blesse leger
48.8367,2.40144,Blesse leger
48.8367,2.40346,Blesse hospitalise
48.8367,2.42391,Blesse leger
48.8368,2.26827,Blesse hospitalise
48.8368,2.26827,Indemne
48.8368,2.35183,Blesse leger
48.8368,2.35183,Tue
48.8368,2.35941,Blesse leger
48.8369,2.27834,Blesse leger
48.8369,2.28359,Blesse leger
48.837,2.3731,Blesse leger
48.837,2.43159,Blesse leger
48.8371,2.39,Blesse leger
48.8371,2.40219,Blesse leger
48.8372,2.29641,Blesse leger
48.8372,2.3178,Blesse leger
48.8373,2.25906,Blesse hospitalise
48.8374,2.39117,Blesse leger
48.8375,2.25684,Blesse leger
48.8375,2.34631,Blesse leger
